,state,city,site,site_name,year,pm25,pm10,so2,co,no2,ozone
0,Delhi,Delhi,site_103,"CRRI Mathura Road, Delhi - IMD",2018,124.80093730483446,246.78543618468657,,1.4081854040363475,38.09314760950128,35.79742863392289
1,Delhi,Delhi,site_104,"Burari Crossing, Delhi - IMD",2018,,,,,,
2,Delhi,Delhi,site_105,"North Campus, DU, Delhi - IMD",2018,111.05046084138077,235.97447181490747,,,30.27971425798047,31.80868027465509
3,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",2018,84.53714148850966,193.96116413167834,,,25.366877900142573,29.558197485871144
4,Delhi,Delhi,site_107,"Pusa, Delhi - IMD",2018,80.40499681184839,164.9834978976229,,,33.66398497908095,34.397968553632985
5,Delhi,Delhi,site_108,"Aya Nagar, Delhi - IMD",2018,93.92826010655811,187.43715116297443,,1.7907068790042937,27.52133265488338,39.9160198543505
6,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",2018,89.77027631459761,193.2322500796341,,1.6117824151723577,25.527379693598018,26.655049351985816
7,Delhi,Delhi,site_113,"Shadipur, Delhi - CPCB",2018,116.01210472233245,,12.2142345417237,1.1633842178380258,54.799524399353615,31.154754529083036
8,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",2018,103.7622608641668,,15.879294716471291,0.9896349670663803,46.30810896235426,
9,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",2018,119.05491999937784,,12.56754192280287,0.6396708097703472,33.83908663926229,32.47886439378804
10,Delhi,Delhi,site_116,"East Arjun Nagar, Delhi - CPCB",2018,,,9.682188029364829,,61.1410240000996,41.28118265974823
11,Delhi,Delhi,site_117,"ITO, Delhi - CPCB",2018,127.60233012301681,203.18570402026631,,,73.73032162025498,
12,Delhi,Delhi,site_118,"DTU, Delhi - CPCB",2018,132.37077616556306,,,,29.716692056749675,
13,Delhi,Delhi,site_119,"Sirifort, Delhi - CPCB",2018,104.33550056588408,,,,,
14,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",2018,109.21038952229385,199.79299301218356,11.639615742168516,1.531803480084428,54.18165614236815,23.44293400638963
15,Delhi,Delhi,site_124,"R K Puram, Delhi - DPCC",2018,121.52588150728471,243.02401778021928,19.796664168344456,1.6644472590820962,66.68911285537153,40.37923547638535
16,Delhi,Delhi,site_125,"Punjabi Bagh, Delhi - DPCC",2018,123.9607504792467,244.87062373252635,20.439667723473022,1.4495811750521967,78.79478358597076,40.372389826888835
17,Delhi,Delhi,site_1420,"Ashok Vihar, Delhi - DPCC",2018,119.20457604920804,256.597494698916,13.536200810473252,1.2200741427753254,39.60814571042102,44.29900543339312
18,Delhi,Delhi,site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2018,,202.09750045878172,28.197566114651014,1.3231358225364422,55.822651201126995,55.3324735967408
19,Delhi,Delhi,site_1422,"Dwarka-Sector 8, Delhi - DPCC ",2018,107.81036252852157,286.4759547834963,11.436079234482786,1.7903134571333392,36.80351935763009,39.89089875524551
20,Delhi,Delhi,site_1423,"Jahangirpuri, Delhi - DPCC",2018,147.8970910955744,298.28263757190285,16.572984613262356,1.8632556245976142,56.16002077555295,25.821461278020976
21,Delhi,Delhi,site_1424,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018,104.42704769388347,227.6605178729265,15.743625486504818,,66.3221858494216,39.75828321814068
22,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",2018,101.91179132846747,234.64339557232512,14.913435527132979,1.8765422627940413,65.49380306736488,37.20742113201911
23,Delhi,Delhi,site_1426,"Narela, Delhi - DPCC",2018,122.56165361376065,252.80699761181464,10.014912300053746,0.9377926651083828,31.135233172613162,36.325734035767276
24,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",2018,88.3403786600234,192.50875192883285,6.633613111776825,,24.526725598512417,53.90081310278848
25,Delhi,Delhi,site_1428,"Okhla Phase-2, Delhi - DPCC",2018,107.18691203000347,249.16186107297776,12.233176460657843,,39.62561440121776,21.067661882507245
26,Delhi,Delhi,site_1429,"Nehru Nagar, Delhi - DPCC",2018,120.26692393075554,224.19624937765752,9.829747940241974,1.5555777186271333,,42.99284846980515
27,Delhi,Delhi,site_1430,"Rohini, Delhi - DPCC",2018,130.15217081931854,282.24706432651084,14.573763914511206,1.5096509005819954,39.348499618896035,36.4395344367737
28,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",2018,99.66313009134196,204.03199302874285,5.036647792818416,,31.78317389709298,40.47909515678839
29,Delhi,Delhi,site_1432,"Sonia Vihar, Delhi - DPCC",2018,120.91979336011536,240.61519640474975,8.152379599222252,1.5543526093298141,28.8268202770799,49.66451500692295
30,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",2018,137.7249915031054,311.35375791918557,19.994698039776782,1.3843781105173585,47.71583518389789,29.13754243307547
31,Delhi,Delhi,site_1435,"Vivek Vihar, Delhi - DPCC",2018,108.52809470588934,258.0826004790386,12.20008764327333,,32.0409347959055,37.57612600727564
32,Delhi,Delhi,site_1560,"Bawana, Delhi - DPCC",2018,,,,,,
33,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",2018,,,,,,
34,Delhi,Delhi,site_1562,"Sri Aurobindo Marg, Delhi - DPCC",2018,,,,,,
35,Delhi,Delhi,site_1563,"Pusa, Delhi - DPCC",2018,,,,,,
36,Delhi,Delhi,site_301,"Anand Vihar, Delhi - DPCC",2018,,,15.579046797385319,,,
